id,code,description,category,subcategory,unit,rate
mjd-000040,SET-0040,"C40/RC40; blended; 20agg; S3/skip",Set factors  prices,General,ltr,128
mjd-000041,SET-0041,"C40/RC40; CEM1, 20agg; S4/pump",Set factors  prices,Dewatering,item,132
mjd-000042,SET-0042,"C40/RC40; CEM1, S3/pump/slipform",Set factors  prices,Dewatering,ltr,137
mjd-000043,SET-0043,"C40/RC40 Air Entrained PQC; 20agg; S3-4/pump",Set factors  prices,Dewatering,tonne,152
mjd-000044,SET-0044,"C40/RC40 with fibre reinforcement",Set factors  prices,Reinforcement,tonne,170
mjd-000045,SET-0045,"C40; Self Compacting",Set factors  prices,Filling,tonne,168
mjd-000046,SET-0046,"Lightweight Concrete LC 32/35 Lytag",Set factors  prices,Concrete Supply,tonne,219
mjd-000047,SET-0047,"Lightweight Concrete LC 35/38 Lytag",Set factors  prices,Concrete Supply,tonne,223
mjd-000048,SET-0048,"C45/RC45; DS/DC/AC-2/3/4; S2",Set factors  prices,General,item,131
mjd-000049,SET-0049,"C45/RC45; DS/DC/AC-2/3/4; S3/pump",Set factors  prices,Dewatering,item,132
mjd-000050,SET-0050,"C45/RC45; S2",Set factors  prices,General,item,131
mjd-000051,SET-0051,"C45/RC45; CEM1; S3/pump",Set factors  prices,Dewatering,item,135
mjd-000052,SET-0052,"C45/RC45; CEM1; S3/pump/slipform",Set factors  prices,Dewatering,ltr,140
mjd-000053,SET-0053,"C50/RC50; DS/DC/AC-2/3/4; S2",Set factors  prices,General,item,135
mjd-000054,SET-0054,"C50/RC50; DS/DC/AC-2/3/4; S3/pump",Set factors  prices,Dewatering,item,136
mjd-000055,SET-0055,"C50/RC50; S2",Set factors  prices,General,item,135
mjd-000056,SET-0056,"C50/RC50; CEM1; S3/pump",Set factors  prices,Dewatering,item,140
mjd-000057,SET-0057,"C50/RC50; CEM1; S3/pump/slipform",Set factors  prices,Dewatering,ltr,145
mjd-000058,SET-0058,"C50; CEM1; self compacting; 10mm agg",Set factors  prices,Filling,tonne,165
mjd-000059,SET-0059,"C50/RC50, fibre reinforced",Set factors  prices,Reinforcement,item,163
mjd-000060,SET-0060,"C55/RC55; S2/S3 skip",Set factors  prices,General,item,138
mjd-000061,SET-0061,"C55/RC55; CEM1; S3/pump",Set factors  prices,Dewatering,item,142
mjd-000062,SET-0062,"C60/RC60; blended; 20agg; S2-3/skip",Set factors  prices,General,ltr,150
mjd-000063,SET-0063,"C60/RC60; S3/pump",Set factors  prices,Dewatering,item,151
mjd-000064,SET-0064,"C60/RC60; CEM1; S3/pump",Set factors  prices,Dewatering,item,155
mjd-000065,SET-0065,"C60/RC60; CEM1; Slipform/pump",Set factors  prices,Dewatering,ltr,160
mjd-000066,SET-0066,"C75, slipform mix",Set factors  prices,General,ltr,190
mjd-000067,SET-0067,"C85, Slipform mix",Set factors  prices,General,ltr,220
mjd-000068,SET-0068,"C35; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S2",Set factors  prices,Waterproof Concrete,tonne,181
mjd-000069,SET-0069,"C35; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S3/pump",Set factors  prices,Dewatering,tonne,182
mjd-000070,SET-0070,"C40; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; DS/DC/AC-2/3/4; blended; 20agg; S2-3/skip",Set factors  prices,Waterproof Concrete,tonne,183
mjd-000071,SET-0071,"C40; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; DS/DC/AS-2/3/4; 20agg; S3-4/pump",Set factors  prices,Dewatering,tonne,184
mjd-000072,SET-0072,"C40; Caltite waterproof additive; S2",Set factors  prices,Waterproof Concrete,tonne,208
mjd-000073,SET-0073,"C40; Caltite waterproof additive; S3/pump",Set factors  prices,Dewatering,tonne,209
mjd-000074,SET-0074,"C45; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S2",Set factors  prices,Waterproof Concrete,tonne,186
mjd-000075,SET-0075,"C45; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S3/pump",Set factors  prices,Dewatering,tonne,187
mjd-000076,SET-0076,"C45; Caltite waterproof additive; S2",Set factors  prices,Waterproof Concrete,tonne,211
mjd-000077,SET-0077,"C45; Caltite waterproof additive; S3/pump",Set factors  prices,Dewatering,tonne,212
mjd-000078,SET-0078,"C50; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S2",Set factors  prices,Waterproof Concrete,tonne,190
mjd-000079,SET-0079,"C50; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S3/pump",Set factors  prices,Dewatering,tonne,191
mjd-000080,SET-0080,"C50; Caltite waterproof additive; S2",Set factors  prices,Waterproof Concrete,tonne,215
mjd-000081,SET-0081,"C50; Caltite waterproof additive; S3/pump",Set factors  prices,Dewatering,tonne,216
mjd-000082,SET-0082,"C60; Hydrocrete/Pudlo waterproof additive; S3",Set factors  prices,Waterproof Concrete,tonne,205
mjd-000083,SET-0083,"C60; Hydrocrete/Pudlo waterproof additive; S3/pump",Set factors  prices,Dewatering,tonne,206
mjd-000084,SET-0084,"C80; Hydrocrete/Pudlo; S4",Set factors  prices,Waterproof Concrete,tonne,255
mjd-000085,SET-0085,"Various sizes 10-40mm dia",Set factors  prices,General,item,1170
mjd-000086,GRO-0001,"Excavation quantities based on existing ground level being m OD",Groundworks,Excavation,tonne,0
mjd-000087,GRO-0002,"No allowance has been made for dealing with contaminated ground",Groundworks,General,tonne,0
mjd-000088,GRO-0003,"Tender based on drawings:",Groundworks,General,tonne,0
mjd-000089,GRO-0004,"Demolish existing timber & plaster partitions/floors/roofs (Reduce elements to solid m3)",Groundworks,Roofing,m³,158.66
mjd-000090,GRO-0005,"Demolish existing brickwork/blockwork/plaster (Reduce walls to solid m3)",Groundworks,Masonry,m³,120.3
mjd-000091,GRO-0006,"Demolish existing RC structure inc breakup, load & C/A (reduce to solid m3)",Groundworks,General,m³,209.55
mjd-000092,GRO-0007,"Break up & remove existing GF concrete slabs",Groundworks,Concrete Supply,m³,74.67
mjd-000093,GRO-0008,"Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers",Groundworks,Filling,m³,133.85
mjd-000094,GRO-0009,"Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers",Groundworks,Filling,m³,109.21
mjd-000095,GRO-0010,"Grub up & remove existing basements and underground structures and backfill voids with structural granular fill well compacted in layers; total gross volume m3",Groundworks,Filling,m³,75.34
mjd-000096,GRO-0011,"Temporary works required for demolition",Groundworks,Temporary Services,m²,109.28
mjd-000097,GRO-0012,"Crash deck under slab break outs",Groundworks,General,m²,35.11
mjd-000098,GRO-0013,"Excavate by hand; inside existing buildings & get out",Groundworks,Excavation,m³,91.78
mjd-000099,GRO-0014,"Excavate by hand; in confined space within building & get out",Groundworks,Excavation,m³,128.75
mjd-000100,GRO-0015,"Demolish by hand brickwork/blockwork/etc inc breakup, load & C/A (solid m3)",Groundworks,Masonry,m³,415.77
mjd-000101,GRO-0016,"Demolish by hand RC structure inc breakup, load & C/A (solid m3)",Groundworks,General,ltr,547.55
mjd-000102,GRO-0017,"Demolish by hand RC structure inc breakup, load & C/A (solid m3)",Groundworks,General,sum,547.55
mjd-000103,GRO-0018,"Exc 100mm dp; b/o tarmac; C/A; b/fill with 6F2; L&C",Groundworks,Filling,m²,11.2
mjd-000104,GRO-0019,"Exc 100mm dp; b/o tarmac; C/A; b/fill with 6F2; L&C",Groundworks,Filling,m²,31.52
mjd-000105,GRO-0020,"Saw cut concrete; ne 100mm",Groundworks,Excavation,m,8.97
mjd-000106,GRO-0021,"Saw cut concrete; ne 200mm",Groundworks,Excavation,m,17.94
mjd-000107,GRO-0022,"Saw cut concrete; ne 300mm",Groundworks,Excavation,m,26.9
mjd-000108,GRO-0023,"Saw cut concrete; ne 400mm",Groundworks,Excavation,m,35.87
mjd-000109,GRO-0024,"Saw cut concrete; ne 500mm",Groundworks,Excavation,m,44.84
mjd-000110,GRO-0025,"Remove any existing redundant drains and services; prov 1.5m dp",Groundworks,General,m,108.48
mjd-000111,GRO-0026,"Breakout and remove extg manhole; prov 1.5m dp",Groundworks,Manholes & Chambers,nr,338.64
mjd-000112,GRO-0027,"Divert any live drains or services that encrouch on position of new building and working space around.",Groundworks,General,tonne,0
mjd-000113,GRO-0028,"Demolish existing sub station",Groundworks,General,nr,5906.56
mjd-000114,GRO-0029,"Electric diversion",Groundworks,General,nr,2360
mjd-000115,GRO-0030,"Cat scan site",Groundworks,General,nr,1180
mjd-000116,GRO-0031,"Remove existing handrails; 1.2m high galv/painted steel",Groundworks,Reinforcement,m,98.86
mjd-000117,GRO-0032,"Remove existing handrails; 1.0m high galv/painted steel",Groundworks,Reinforcement,m,95.32
mjd-000118,GRO-0033,"Remove existing metal fencing; ne 1.0m high",Groundworks,General,m,73.61
mjd-000119,GRO-0034,"Remove lamposts",Groundworks,General,m²,137.9
mjd-000120,GRO-0035,"Remove wooden fencing; 1.80m high",Groundworks,General,m,67.55
mjd-000121,GRO-0036,"Bollard",Groundworks,Fencing & Barriers,nr,33.91
mjd-000122,GRO-0037,"CCTV columns",Groundworks,Steelwork,nr,137.9
mjd-000123,GRO-0038,"Car park barrier and payment machine",Groundworks,Reinforcement,nr,310.83
mjd-000124,GRO-0039,"Load and cart fly tipped materials left on site",Groundworks,Disposal,m³,73.23
mjd-000125,GRO-0040,"Heras fencing as tree protection (per tree)",Groundworks,Landscaping,nr,44.02
mjd-000126,GRO-0041,"Site clearance",Groundworks,Site Clearance,m²,0.97
mjd-000127,GRO-0042,"Excavate to reduce levels",Groundworks,Excavation,m³,3.94
mjd-000129,GRO-0129,"Inert disposal rate fluctuating based on prime cost of:",Groundworks,Disposal,ltr,300
mjd-000130,GRO-0044,"Dispose of excavation arisings off site; clean inert material",Groundworks,Excavation,m³,41.65
mjd-000132,GRO-0046,"Level & compact bottom of excavation",Groundworks,Excavation,m²,0.53
mjd-000133,GRO-0047,"Level & compact bottom of excavation",Groundworks,Excavation,m²,0.34
mjd-000134,GRO-0048,"Terram",Groundworks,General,m²,1.47
mjd-000135,GRO-0049,"Imported fill; hardcore / crushed concrete in piling mat",Groundworks,Filling,m³,27.78
mjd-000136,GRO-0050,"Imported fill; hardcore / crushed concrete in piling mat",Groundworks,Filling,m³,28.55
mjd-000137,GRO-0051,"Piling mat; imported hardcore; 600mm thk",Groundworks,Piling,m²,16.67
mjd-000138,GRO-0052,"Haul roads; imported Type 1; 300mm thk",Groundworks,Roads & Paving,m³,47.63
mjd-000139,GRO-0053,"Hardstandings; imported Type 2; 250mm thick",Groundworks,General,m³,44.85
mjd-000140,GRO-0054,"Level & compact fill",Groundworks,Filling,m²,0.53
mjd-000142,GRO-0056,"Install protective matting",Groundworks,General,m²,0
mjd-000143,GRO-0057,"Erect hoardings",Groundworks,Site Setup,m,95.5
mjd-000144,GRO-0058,"Double gate; vehicle access",Groundworks,Fencing & Barriers,nr,1422.59
mjd-000145,GRO-0059,"EO for Pedestrian gate",Groundworks,Fencing & Barriers,nr,381.04
mjd-000146,GRO-0060,"Temporary gates during piling; Double gate; vehicle access",Groundworks,Piling,nr,1422.59
mjd-000147,GRO-0061,"Heras Fencing (tree protection)",Groundworks,Landscaping,m,25.38
mjd-000148,GRO-0062,"Isolate & remove live services",Groundworks,General,tonne,2031.96
mjd-000149,GRO-0063,"Survey for services, etc",Groundworks,General,tonne,2360
mjd-000150,GRO-0064,"Trial pit to locate services",Groundworks,General,nr,78.93
mjd-000151,GRO-0065,"Level & compact ground",Groundworks,Filling,m²,0.53
mjd-000152,GRO-0066,"CBR test to establish piling mat capacity",Groundworks,Piling,nr,383.5
mjd-000153,GRO-0067,"Excavate to reduce levels, for piling mat; ne 1m dp",Groundworks,Excavation,m³,3.8
mjd-000155,GRO-0069,"Excavate to remove piling mat",Groundworks,Excavation,m³,3.8
mjd-000156,GRO-0070,"Scrape off top of piling mat & dispose off site; ne 100mm thk",Groundworks,Piling,m²,4.95
mjd-000157,GRO-0071,"Excavate to remove piling mat & dispose off site; 300mm thk",Groundworks,Excavation,m²,14.42
mjd-000158,GRO-0072,"Excavate to remove piling mat & dispose off site; 400mm thk",Groundworks,Excavation,m²,19.22
mjd-000159,GRO-0073,"Excavate to remove piling mat & dispose off site; 500mm thk",Groundworks,Excavation,m²,24.03
mjd-000160,GRO-0074,"Excavate to remove piling mat & dispose off site; 600mm thk",Groundworks,Excavation,m²,28.83
mjd-000161,GRO-0075,"Excavate to remove piling mat & dispose off site; 750mm thk",Groundworks,Excavation,m²,36.04
mjd-000162,GRO-0076,"Excavate to remove piling mat & dispose off site",Groundworks,Excavation,m³,48.05
mjd-000164,GRO-0078,"Dispose of excavation arisings off site; clean inert material",Groundworks,Excavation,m³,44.25
mjd-000165,GRO-0079,"Dispose of hardcore (from piling mat) off site",Groundworks,Piling,m³,19.67
mjd-000166,GRO-0080,"Haul & deposit on site; max 50m",Groundworks,General,m³,5.06
mjd-000167,GRO-0081,"Piling mat design",Groundworks,Piling,tonne,1180
mjd-000168,GRO-0082,"Filling with free issue materials from site stockpile; load & haul max 50m",Groundworks,Filling,m³,9.93
mjd-000170,GRO-0084,"Imported fill; 6F2 in piling mat",Groundworks,Filling,m³,36.05
mjd-000171,GRO-0085,"Filling with free issue materials from site stockpile; to form piling mat; load & haul max 50m",Groundworks,Filling,m³,9.81
mjd-000172,GRO-0086,"Form ramp between different levels of pile mat",Groundworks,Piling,nr,646.35
mjd-000173,GRO-0087,"Credit free issue materials for piling mat",Groundworks,Piling,m³,0
mjd-000174,GRO-0088,"Imported fill; hardcore / crushed concrete in piling mat; ne 100mm thick",Groundworks,Filling,m²,3.15
mjd-000175,GRO-0089,"Imported fill; hardcore / crushed concrete in piling mat; 300mm thick",Groundworks,Filling,m²,8.33
mjd-000176,GRO-0090,"Filling with free issue materials from site stockpile; to form piling mat; load & haul max 50m; 300mm thk",Groundworks,Filling,m²,2.98
mjd-000177,GRO-0091,"Imported fill; 6F2 in piling mat; 400mm thick",Groundworks,Filling,m²,14.44
mjd-000178,GRO-0092,"Imported fill; 6F2 in piling mat; 500mm thick",Groundworks,Filling,m²,18.05
mjd-000179,GRO-0093,"Imported fill; 6F2 in piling mat; 600mm thick",Groundworks,Filling,m²,21.67
mjd-000180,GRO-0094,"Imported fill; 6F2 in piling mat; 750mm thick",Groundworks,Filling,m²,27.08
mjd-000181,GRO-0095,"Imported fill; 6F2 in piling mat; 900mm thick",Groundworks,Filling,m²,34.03
mjd-000182,GRO-0096,"Level & compact surface of fill",Groundworks,Filling,m²,0.52
mjd-000184,GRO-0098,"Tensar Triax geogrid",Groundworks,General,m²,3.22
mjd-000185,GRO-0099,"Tensar Geogrid TX150",Groundworks,General,m²,3.05
mjd-000186,GRO-0100,"E'grid 3030L geotextile",Groundworks,Roofing,m²,3.96
mjd-000187,GRO-0101,"Level & compact piling mat",Groundworks,Filling,m²,0.53
mjd-000188,GRO-0102,"Piling mat maintenance",Groundworks,Piling,m²,0.62
mjd-000189,GRO-0103,"Design, mobilise, install concrete bearing piles, test & de-mobilise",Groundworks,Piling,tonne,0
mjd-000190,GRO-0104,"Design, mobilise, install concrete contig piles, test & de-mobilise",Groundworks,Piling,tonne,40710.6
mjd-000191,GRO-0105,"Mobilise",Groundworks,General,nr,1180
mjd-000192,GRO-0106,"Demobilise",Groundworks,General,nr,1180
mjd-000193,GRO-0107,"Design",Groundworks,Signage,tonne,1180
mjd-000194,GRO-0108,"Set-up at pile position",Groundworks,Piling,nr,41.37
mjd-000195,GRO-0109,"Auger 300mm diameter pile",Groundworks,Piling,m,9.93
mjd-000196,GRO-0110,"Concrete to pile",Groundworks,Piling,m,13.41
mjd-000197,GRO-0111,"Reinforcement (250kg/m3)",Groundworks,Reinforcement,m,40.25
mjd-000198,GRO-0112,"De-bonding reinforcement",Groundworks,Reinforcement,nr,6.01
mjd-000199,GRO-0113,"Attendance; exc + operator, dumper + driver",Groundworks,General,week,0
mjd-000200,GRO-0114,"Attendance; dispose of pile arisigs",Groundworks,Piling,m³,0
mjd-000201,GRO-0115,"Attendance; pile probing",Groundworks,Piling,nr,0
mjd-000202,GRO-0116,"Integrity testing",Groundworks,General,nr,177
mjd-000203,GRO-0117,"Load testing",Groundworks,General,nr,3904.32
mjd-000204,GRO-0118,"300dia pile; MBL Piling; 15m lg",Groundworks,Piling,nr,716.48
mjd-000205,GRO-0119,"300mm dia CFA pile; 12m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,487.32
mjd-000206,GRO-0120,"300mm dia CFA pile; 15m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,564.9
mjd-000207,GRO-0121,"450mm dia CFA pile; 15m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,912.33
mjd-000208,GRO-0122,"450mm dia CFA pile; 18m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,1071.19
mjd-000209,GRO-0123,"600mm dia CFA pile; 10m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,1512.94
mjd-000210,GRO-0124,"600mm dia CFA pile; 18m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,1680.69
mjd-000211,GRO-0125,"600mm dia CFA pile; 35m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,3854.74
mjd-000212,GRO-0126,"750mm dia CFA pile; 18m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,2660.91
mjd-000213,GRO-0127,"750mm dia CFA pile; 20m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,2950.01
mjd-000214,GRO-0128,"750mm dia CFA pile; 25m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,3672.76
mjd-000215,GRO-0129,"900mm dia CFA pile; 25m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,6152.13
mjd-000216,GRO-0130,"900mm dia CFA pile; 35m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,8584.66
mjd-000217,GRO-0131,"1500mm dia CFA pile; 25m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,14136.14
mjd-000218,GRO-0132,"2000mm dia CFA pile; 25m lg (bore, conc, rebar, test, de-bond, move rig, mod & demob, design)",Groundworks,Piling,nr,25085.03
mjd-000219,GRO-0133,"900mm dia auger pile; empty bore and granular fill (bore, fill, move rig, mod & demob, design)",Groundworks,Filling,nr,98.14
mjd-000220,GRO-0134,"1500mm dia auger pile; empty bore and granular fill (bore, fill, move rig, mod & demob, design)",Groundworks,Filling,nr,251.63
mjd-000221,GRO-0135,"2000mm dia auger pile; empty bore and granular fill (bore, fill, move rig, mod & demob, design)",Groundworks,Filling,nr,438.17
mjd-000222,GRO-0136,"EO piles for supply and place steel plunge column including plumb, level & line and hold in position until conc cured; allow 305 x 305 x 198kg x 16m lg",Groundworks,Piling,nr,7476.48
mjd-000223,GRO-0137,"EO 600 dia piles for boring and filling piles with shingle",Groundworks,Filling,m,21.69
mjd-000224,GRO-0138,"EO 900 dia piles for boring and filling piles with shingle",Groundworks,Filling,m,48.8
mjd-000225,GRO-0139,"Design",Groundworks,Signage,tonne,2950
mjd-000226,GRO-0140,"Mobilisation & demobilisation",Groundworks,General,tonne,11564
mjd-000227,GRO-0141,"Rig delays; per hour",Groundworks,General,hour,615.25
mjd-000228,GRO-0142,"Testing; static load test",Groundworks,General,tonne,3540
mjd-000229,GRO-0143,"Integrity testing",Groundworks,General,tonne,1180
mjd-000230,GRO-0144,"Piles for crane base",Groundworks,Piling,nr,1770
mjd-000231,GRO-0145,"EO for pile integrity tests",Groundworks,Piling,nr,118
mjd-000232,GRO-0146,"EO for pvc casings; 1m lg",Groundworks,General,nr,88.91
mjd-000233,GRO-0147,"Debonding pile reinforcement",Groundworks,Piling,nr,94.4
mjd-000234,GRO-0148,"Design, mobilise, install steel sheet piles & de-mobilise",Groundworks,Piling,tonne,44025.3
mjd-000236,GRO-0150,"Piling attendance; excavator & operator",Groundworks,Excavation,week,3020.8
mjd-000237,GRO-0151,"Piling attendance; excavator & operator",Groundworks,Excavation,day,604.16
mjd-000238,GRO-0152,"Piling attendance; dumper & driver",Groundworks,Piling,week,2124
mjd-000239,GRO-0153,"Piling attendance; dumper & driver",Groundworks,Piling,day,424.8
mjd-000240,GRO-0154,"Piling attendance; crawler crane and operator",Groundworks,Piling,week,4141.8
mjd-000241,GRO-0155,"Piling attendance; ride on roller",Groundworks,Piling,week,619.5
mjd-000242,GRO-0156,"Piling attendance; banksman/traffic marshall",Groundworks,Piling,week,1200.65
mjd-000243,GRO-0157,"Piling attendance; foreman/supervisor",Groundworks,Piling,week,1770
mjd-000244,GRO-0158,"Pile probing; 3m spike",Groundworks,Piling,nr,15.49
mjd-000245,GRO-0159,"Pile probing; 3m trench for sheet/contiguous/secant piles",Groundworks,Piling,m,18.81
mjd-000247,GRO-0160,"Dispose of pile arisings off site; clean inert; provisionally based on ? nr x ? dia x ? depth; loaded by excavator in attendance",Groundworks,Excavation,m³,47.2
mjd-000248,GRO-0161,"WAC test pile spoil to assess contamination",Groundworks,Piling,nr,271.4
mjd-000249,GRO-0162,"EO clean inert disposal for non haz",Groundworks,Disposal,m³,15.73
mjd-000250,GRO-0163,"Haul & deposit on site; max 100m",Groundworks,General,m³,4.48
mjd-000251,GRO-0164,"Excavate, breakup obstruction, dispose & backfill with SEM",Groundworks,Excavation,m³,117.59
mjd-000252,GRO-0165,"Leader trench for sheet piling; 1500 x 600mm dp; on centre line of sheet piles",Groundworks,Piling,m,31.06
mjd-000253,GRO-0166,"Secant pile guide wall; sacrificial; 600 dia piles at 450 c/s.",Groundworks,Piling,m,325.19
mjd-000254,GRO-0167,"Secant pile guide wall; sacrificial; 750 dia male & 600 dia female piles at 525 c/s.",Groundworks,Piling,m,391
mjd-000255,GRO-0168,"Capping beam; 900 x 750; inc exc, C/A, L&C, EWS, W/S, C40 conc, fwk, rebar 150kg/m3, trowel. Excludes breakdown piles",Groundworks,Piling,m,443.44
mjd-000256,GRO-0169,"Breakdown piles; 250 x 250 driven x max 500mm high; driven PC piles",Groundworks,Piling,nr,50.35
mjd-000257,GRO-0170,"Breakdown piles; 300mm dia x max 500mm high; reinforcement de-bonded",Groundworks,Piling,nr,51.47
mjd-000258,GRO-0171,"Breakdown piles; 350mm dia x max 500mm high; reinforcement de-bonded",Groundworks,Piling,nr,52.44
mjd-000259,GRO-0172,"Breakdown piles; 350mm dia x max 2000mm high; reinforcement de-bonded",Groundworks,Piling,nr,60.84
mjd-000260,GRO-0173,"Breakdown piles; 350mm dia x max 3000mm high; reinforcement de-bonded",Groundworks,Piling,nr,66.45
mjd-000261,GRO-0174,"Breakdown piles; 350mm dia x max 4000mm high; reinforcement de-bonded",Groundworks,Piling,nr,72.05
mjd-000262,GRO-0262,"Breakdown piles; 350mm dia x max 6000mm high; reinforcement de-bonded",Groundworks,Piling,nr,83.25
mjd-000263,GRO-0172,"Breakdown piles; 400mm dia x max 500mm high; reinforcement de-bonded",Groundworks,Piling,nr,57.38
mjd-000264,GRO-0173,"Breakdown piles; 400mm dia x max 2000mm high; reinforcement de-bonded",Groundworks,Piling,nr,66.57
mjd-000265,GRO-0174,"Breakdown piles; 450mm dia x max 500mm high; reinforcement de-bonded",Groundworks,Piling,nr,63.05
mjd-000266,GRO-0175,"Breakdown piles; 450mm dia x max 1000mm high; reinforcement de-bonded",Groundworks,Piling,nr,67.1
mjd-000267,GRO-0176,"Breakdown piles; 450mm dia x max 1250mm high; reinforcement de-bonded",Groundworks,Piling,nr,69.13
mjd-000268,GRO-0177,"Breakdown piles; 450mm dia x max 1500mm high; reinforcement de-bonded",Groundworks,Piling,nr,71.15
