id,code,description,category,subcategory,unit,rate,quantity
MJD-000147,GEN-00147,"C50/RC50; DS/DC/AC-2/3/4; S2","General Construction","Miscellaneous",m³,135,0
MJD-000148,PLA-00148,"C50/RC50; DS/DC/AC-2/3/4; S3/pump","Plant","Small Plant",m³,136,0
MJD-000149,GEN-00149,"C50/RC50; S2","General Construction","Miscellaneous",m³,135,0
MJD-000150,PLA-00150,"C50/RC50; CEM1; S3/pump","Plant","Small Plant",m³,140,0
MJD-000151,PLA-00151,"C50/RC50; CEM1; S3/pump/slipform","Plant","Small Plant",m³,145,0
MJD-000152,GRO-00152,"C50; CEM1; self compacting; 10mm agg","Groundworks","Compaction",m³,165,0
MJD-000153,CON-00153,"C50/RC50, fibre reinforced","Concrete Works","Reinforcement",m³,163,0
MJD-000154,GEN-00154,"C55/RC55; S2/S3 skip","General Construction","Miscellaneous",m³,138,0
MJD-000155,PLA-00155,"C55/RC55; CEM1; S3/pump","Plant","Small Plant",m³,142,0
MJD-000156,GEN-00156,"C60/RC60; blended; 20agg; S2-3/skip","General Construction","Miscellaneous",m³,150,0
MJD-000157,PLA-00157,"C60/RC60; S3/pump","Plant","Small Plant",m³,151,0
MJD-000158,PLA-00158,"C60/RC60; CEM1; S3/pump","Plant","Small Plant",m³,155,0
MJD-000159,PLA-00159,"C60/RC60; CEM1; Slipform/pump","Plant","Small Plant",m³,160,0
MJD-000160,GEN-00160,"C75, slipform mix","General Construction","Miscellaneous",m³,190,0
MJD-000161,GEN-00161,"C85, Slipform mix","General Construction","Miscellaneous",m³,220,0
MJD-000162,CON-00162,"C35; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S2","Concrete Works","Waterproof Concrete",m³,181,0
MJD-000163,CON-00163,"C35; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S3/pump","Concrete Works","Waterproof Concrete",m³,182,0
MJD-000164,CON-00164,"C40; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; DS/DC/AC-2/3/4; blended; 20agg; S2-3/skip","Concrete Works","Waterproof Concrete",m³,183,0
MJD-000165,CON-00165,"C40; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; DS/DC/AS-2/3/4; 20agg; S3-4/pump","Concrete Works","Waterproof Concrete",m³,184,0
MJD-000166,CON-00166,"C40; Caltite waterproof additive; S2","Concrete Works","Waterproof Concrete",m³,208,0
MJD-000167,CON-00167,"C40; Caltite waterproof additive; S3/pump","Concrete Works","Waterproof Concrete",m³,209,0
MJD-000168,CON-00168,"C45; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S2","Concrete Works","Waterproof Concrete",m³,186,0
MJD-000169,CON-00169,"C45; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S3/pump","Concrete Works","Waterproof Concrete",m³,187,0
MJD-000170,CON-00170,"C45; Caltite waterproof additive; S2","Concrete Works","Waterproof Concrete",m³,211,0
MJD-000171,CON-00171,"C45; Caltite waterproof additive; S3/pump","Concrete Works","Waterproof Concrete",m³,212,0
MJD-000172,CON-00172,"C50; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S2","Concrete Works","Waterproof Concrete",m³,190,0
MJD-000173,CON-00173,"C50; Hydrocrete/Pudlo/Adprufe/Sika/Triton waterproof additive; S3/pump","Concrete Works","Waterproof Concrete",m³,191,0
MJD-000174,CON-00174,"C50; Caltite waterproof additive; S2","Concrete Works","Waterproof Concrete",m³,215,0
MJD-000175,CON-00175,"C50; Caltite waterproof additive; S3/pump","Concrete Works","Waterproof Concrete",m³,216,0
MJD-000176,CON-00176,"C60; Hydrocrete/Pudlo waterproof additive; S3","Concrete Works","Waterproof Concrete",m³,205,0
MJD-000177,CON-00177,"C60; Hydrocrete/Pudlo waterproof additive; S3/pump","Concrete Works","Waterproof Concrete",m³,206,0
MJD-000178,CON-00178,"C80; Hydrocrete/Pudlo; S4","Concrete Works","Waterproof Concrete",m³,255,0
MJD-000179,GEN-00179,"m3 Total","General Construction","Miscellaneous",m³,0,0
MJD-000181,GEN-00181,"m3 RC only","General Construction","Miscellaneous",m³,0,0
MJD-000182,CON-00182,"Reinforcement","Concrete Works","Reinforcement",tonne,0,0
MJD-000183,GEN-00183,"Various sizes 10-40mm dia","General Construction","Miscellaneous",tonne,1170,0
MJD-000185,GEN-00185,"Timber/Ply","General Construction","Miscellaneous",tonne,0,0
MJD-000186,GEN-00186,"Tulsa Ply","General Construction","Miscellaneous",sheet,41.5,0
MJD-000187,GEN-00187,"plugged rate","General Construction","Miscellaneous",tonne,0,0
MJD-000189,GRO-00189,"NETT ALLOWANCE","Groundworks","Miscellaneous",tonne,0,0
MJD-000197,GRO-00197,"Conc lab","Groundworks","Miscellaneous",ltr,0,0
MJD-000198,GRO-00198,"S/fixer","Groundworks","Miscellaneous",item,0,0
MJD-000199,EXT-00199,"Plant Op","External Works","Landscaping",tonne,0,0
MJD-000200,GRO-00200,"Ply/Tim","Groundworks","Miscellaneous",tonne,0,0
MJD-000201,GRO-00201,"Temp mat","Groundworks","Miscellaneous",tonne,0,0
MJD-000202,CON-00202,"Concrete","Concrete Works","Concrete Supply",tonne,0,0
MJD-000203,GRO-00203,"Supervision","Groundworks","Miscellaneous",visit,0,0
MJD-000210,GRO-00210,"Groundworks","Groundworks","Miscellaneous",item,1,0
MJD-000213,GRO-00213,"Description","Groundworks","Miscellaneous",tonne,0,0
MJD-000214,GRO-00214,"Preambles","Groundworks","Miscellaneous",ltr,0,0
MJD-000215,GRO-0001,"Excavation quantities based on existing ground level being m OD","Groundworks","Excavation",sum,0,1
MJD-000216,GRO-0002,"No allowance has been made for dealing with contaminated ground","Groundworks","Remediation",sum,0,2
MJD-000217,GRO-0003,"Tender based on drawings:","Groundworks","Miscellaneous",sum,0,3
MJD-000218,GRO-00218,"Demolition","Groundworks","Miscellaneous",tonne,0,0
MJD-000219,GRO-0004,"Demolish existing timber & plaster partitions/floors/roofs (Reduce elements to solid m3)","Structural Steel","Steel Sections",m³,158.66,4
MJD-000220,GRO-0005,"Demolish existing brickwork/blockwork/plaster (Reduce walls to solid m3)","Structural Steel","Steel Sections",m³,120.3,5
MJD-000221,GRO-0006,"Demolish existing RC structure inc breakup, load & C/A (reduce to solid m3)","Structural Steel","Steel Sections",m³,209.55,6
MJD-000222,GRO-0007,"Break up & remove existing GF concrete slabs","Concrete Works","Concrete Supply",m³,74.67,7
MJD-000223,GRO-0008,"Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers","Groundworks","Filling",m³,133.85,8
MJD-000224,GRO-0009,"Grub up & remove existing foundations and underground obstructions and backfill voids with structural granular fill well compacted in layers","Groundworks","Filling",m³,109.21,9
MJD-000225,GRO-0010,"Grub up & remove existing basements and underground structures and backfill voids with structural granular fill well compacted in layers; total gross volume m3","Groundworks","Filling",m³,75.34,10
MJD-000226,GRO-0011,"Temporary works required for demolition","Preliminaries","Temporary Works",m²,109.28,11
MJD-000227,GRO-0012,"Crash deck under slab break outs","External Works","Paving",m²,35.11,12
MJD-000228,GRO-0013,"Excavate by hand; inside existing buildings & get out","Groundworks","Excavation",m³,91.78,13
MJD-000229,GRO-0014,"Excavate by hand; in confined space within building & get out","Groundworks","Excavation",m³,128.75,14
MJD-000230,GRO-0015,"Demolish by hand brickwork/blockwork/etc inc breakup, load & C/A (solid m3)","Masonry","Brickwork",m³,415.77,15
MJD-000231,GRO-0016,"Demolish by hand RC structure inc breakup, load & C/A (solid m3)","Structural Steel","Steel Sections",m³,547.55,16
MJD-000233,GRO-0018,"Exc 100mm dp; b/o tarmac; C/A; b/fill with 6F2; L&C","Groundworks","Filling",m²,11.2,18
MJD-000234,GRO-0019,"Exc 100mm dp; b/o tarmac; C/A; b/fill with 6F2; L&C","Groundworks","Filling",m²,31.52,19
MJD-000235,GRO-0020,"Saw cut concrete; ne 100mm","Concrete Works","Concrete Supply",m,8.97,20
MJD-000236,GRO-0021,"Saw cut concrete; ne 200mm","Concrete Works","Concrete Supply",m,17.94,21
MJD-000237,GRO-0022,"Saw cut concrete; ne 300mm","Concrete Works","Concrete Supply",m,26.9,22
MJD-000238,GRO-0023,"Saw cut concrete; ne 400mm","Concrete Works","Concrete Supply",m,35.87,23
MJD-000239,GRO-0024,"Saw cut concrete; ne 500mm","Concrete Works","Concrete Supply",m,44.84,24
MJD-000240,GRO-0025,"Remove any existing redundant drains and services; prov 1.5m dp","External Works","External Drainage",m,108.48,25
MJD-000241,GRO-0026,"Breakout and remove extg manhole; prov 1.5m dp","External Works","External Drainage",nr,338.64,26
MJD-000242,GRO-0027,"Divert any live drains or services that encrouch on position of new building and working space around.","Structural Steel","Steel Sections",sum,0,27
MJD-000243,GRO-00243,"by others","Groundworks","Miscellaneous",sum,0,27
MJD-000244,GRO-0028,"Demolish existing sub station","Structural Steel","Steel Sections",nr,5906.56,28
MJD-000245,GRO-0029,"Electric diversion","Groundworks","Miscellaneous",nr,2360,29
MJD-000246,GRO-0030,"Cat scan site","Groundworks","Miscellaneous",nr,1180,30
MJD-000247,GRO-0031,"Remove existing handrails; 1.2m high galv/painted steel","Structural Steel","Cold Formed Steel",m,98.86,31
MJD-000248,GRO-0032,"Remove existing handrails; 1.0m high galv/painted steel","Structural Steel","Cold Formed Steel",m,95.32,32
MJD-000249,GRO-0033,"Remove existing metal fencing; ne 1.0m high","Groundworks","Miscellaneous",m,73.61,33
MJD-000250,GRO-0034,"Remove lamposts","Electrical","Lighting",m²,137.9,34
MJD-000251,GRO-0035,"Remove wooden fencing; 1.80m high","Groundworks","Miscellaneous",m,67.55,35
MJD-000252,GRO-0036,"Bollard","Groundworks","Miscellaneous",nr,33.91,36
MJD-000253,GRO-0037,"CCTV columns","Groundworks","Miscellaneous",nr,137.9,37
MJD-000254,GRO-0038,"Car park barrier and payment machine","External Works","Fencing & Gates",nr,310.83,38
MJD-000255,GRO-0039,"Load and cart fly tipped materials left on site","Groundworks","Disposal",m³,73.23,39
MJD-000256,GRO-00256,"Enabling Works","Groundworks","Miscellaneous",ltr,0,0
MJD-000257,GRO-0040,"Heras fencing as tree protection (per tree)","Preliminaries","Temporary Works",nr,44.02,40
MJD-000258,GRO-0041,"Site clearance","Groundworks","Miscellaneous",m²,0.97,41
MJD-000259,GRO-0042,"Excavate to reduce levels","Groundworks","Excavation",m³,3.94,42
MJD-000261,GRO-00261,"Inert disposal rate fluctuating based on prime cost of:","Groundworks","Disposal",load,300,0
MJD-000262,GRO-0044,"Dispose of excavation arisings off site; clean inert material","Groundworks","Excavation",m³,41.65,44
MJD-000264,GRO-0046,"Level & compact bottom of excavation","Groundworks","Excavation",m²,0.53,46
MJD-000266,GRO-0048,"Terram","Groundworks","Miscellaneous",m²,1.47,48
MJD-000267,GRO-0049,"Imported fill; hardcore / crushed concrete in piling mat","Groundworks","Piling",m³,27.78,49
MJD-000269,GRO-0051,"Piling mat; imported hardcore; 600mm thk","Groundworks","Piling",m²,16.67,51
MJD-000270,GRO-0052,"Haul roads; imported Type 1; 300mm thk","Groundworks","Filling",m³,47.63,52
MJD-000271,GRO-0053,"Hardstandings; imported Type 2; 250mm thick","Groundworks","Filling",m³,44.85,53
MJD-000272,GRO-0054,"Level & compact fill","Groundworks","Filling",m²,0.53,54
MJD-000274,GRO-0056,"Install protective matting","Groundworks","Miscellaneous",m²,0,56
MJD-000275,GRO-0057,"Erect hoardings","Preliminaries","Temporary Works",m,95.5,57
MJD-000276,GRO-0058,"Double gate; vehicle access","Structural Steel","Steel Sections",nr,1422.59,58
MJD-000277,GRO-0059,"EO for Pedestrian gate","External Works","Fencing & Gates",nr,381.04,59
MJD-000278,GRO-0060,"Temporary gates during piling; Double gate; vehicle access","Groundworks","Piling",nr,1422.59,60
MJD-000279,GRO-0061,"Heras Fencing (tree protection)","Preliminaries","Temporary Works",m,25.38,61
MJD-000280,GRO-0062,"Isolate & remove live services","Groundworks","Miscellaneous",sum,2031.96,62
MJD-000281,GRO-0063,"Survey for services, etc","Groundworks","Miscellaneous",sum,2360,63
MJD-000282,GRO-0064,"Trial pit to locate services","Groundworks","Miscellaneous",nr,78.93,64
MJD-000283,GRO-00283,"Piling & Piling Attendance","Groundworks","Piling",tonne,0,0
MJD-000284,GRO-0065,"Level & compact ground","Groundworks","Compaction",m²,0.53,65
MJD-000285,GRO-0066,"CBR test to establish piling mat capacity","Groundworks","Piling",nr,383.5,66
MJD-000286,GRO-0067,"Excavate to reduce levels, for piling mat; ne 1m dp","Groundworks","Excavation",m³,3.8,67
MJD-000288,GRO-0069,"Excavate to remove piling mat","Groundworks","Excavation",m³,3.8,69
MJD-000289,GRO-0070,"Scrape off top of piling mat & dispose off site; ne 100mm thk","Groundworks","Piling",m²,4.95,70
MJD-000290,GRO-0071,"Excavate to remove piling mat & dispose off site; 300mm thk","Groundworks","Excavation",m²,14.42,71
MJD-000291,GRO-0072,"Excavate to remove piling mat & dispose off site; 400mm thk","Groundworks","Excavation",m²,19.22,72
MJD-000292,GRO-0073,"Excavate to remove piling mat & dispose off site; 500mm thk","Groundworks","Excavation",m²,24.03,73
MJD-000293,GRO-0074,"Excavate to remove piling mat & dispose off site; 600mm thk","Groundworks","Excavation",m²,28.83,74
MJD-000294,GRO-0075,"Excavate to remove piling mat & dispose off site; 750mm thk","Groundworks","Excavation",m²,36.04,75
MJD-000295,GRO-0076,"Excavate to remove piling mat & dispose off site","Groundworks","Excavation",m³,48.05,76
MJD-000297,GRO-0078,"Dispose of excavation arisings off site; clean inert material","Groundworks","Excavation",m³,44.25,78
MJD-000298,GRO-0079,"Dispose of hardcore (from piling mat) off site","Groundworks","Piling",m³,19.67,79
MJD-000299,GRO-0080,"Haul & deposit on site; max 50m","Groundworks","Miscellaneous",m³,5.06,80
MJD-000300,GRO-0081,"Piling mat design","Groundworks","Piling",sum,1180,81
MJD-000301,GRO-0082,"Filling with free issue materials from site stockpile; load & haul max 50m","Groundworks","Piling",m³,9.93,82
MJD-000303,GRO-0084,"Imported fill; 6F2 in piling mat","Groundworks","Piling",m³,36.05,84
MJD-000304,GRO-0085,"Filling with free issue materials from site stockpile; to form piling mat; load & haul max 50m","Groundworks","Piling",m³,9.81,85
MJD-000305,GRO-0086,"Form ramp between different levels of pile mat","Groundworks","Piling",nr,646.35,86
MJD-000306,GRO-0087,"Credit free issue materials for piling mat","Groundworks","Piling",m³,26.24,87
MJD-000307,GRO-0088,"Imported fill; hardcore / crushed concrete in piling mat; ne 100mm thick","Groundworks","Piling",m²,3.15,88
MJD-000308,GRO-0089,"Imported fill; hardcore / crushed concrete in piling mat; 300mm thick","Groundworks","Piling",m²,8.33,89
MJD-000309,GRO-0090,"Filling with free issue materials from site stockpile; to form piling mat; load & haul max 50m; 300mm thk","Groundworks","Piling",m²,2.98,90
MJD-000310,GRO-0091,"Imported fill; 6F2 in piling mat; 400mm thick","Groundworks","Piling",m²,14.44,91
MJD-000311,GRO-0092,"Imported fill; 6F2 in piling mat; 500mm thick","Groundworks","Piling",m²,18.05,92
MJD-000312,GRO-0093,"Imported fill; 6F2 in piling mat; 600mm thick","Groundworks","Piling",m²,21.67,93
MJD-000313,GRO-0094,"Imported fill; 6F2 in piling mat; 750mm thick","Groundworks","Piling",m²,27.08,94
MJD-000314,GRO-0095,"Imported fill; 6F2 in piling mat; 900mm thick","Groundworks","Piling",m²,34.03,95
MJD-000315,GRO-0096,"Level & compact surface of fill","Groundworks","Filling",m²,0.52,96
MJD-000317,GRO-0098,"Tensar Triax geogrid","Internal Finishes","Ceilings",m²,3.22,98
MJD-000318,GRO-0099,"Tensar Geogrid TX150","Internal Finishes","Ceilings",m²,3.05,99
MJD-000319,GRO-0100,"E'grid 3030L geotextile","Roofing","Roof Coverings",m²,3.96,100
MJD-000320,GRO-0101,"Level & compact piling mat","Groundworks","Piling",m²,0.53,101
MJD-000321,GRO-0102,"Piling mat maintenance","Groundworks","Piling",m²,0.62,102
MJD-000322,GRO-0103,"Design, mobilise, install concrete bearing piles, test & de-mobilise","Groundworks","Piling",sum,989288.4,103
MJD-000323,GRO-0104,"Design, mobilise, install concrete contig piles, test & de-mobilise","Groundworks","Piling",sum,266880.6,104
MJD-000324,GRO-00324,"300mm dia piles; by MBL Piling","Groundworks","Piling",ltr,0,0
MJD-000325,GRO-0105,"Mobilise","Groundworks","Miscellaneous",nr,1180,105
MJD-000326,GRO-0106,"Demobilise","Groundworks","Miscellaneous",nr,1180,106
MJD-000327,GRO-0107,"Design","Groundworks","Miscellaneous",sum,1180,107
MJD-000328,GRO-0108,"Set-up at pile position","Groundworks","Piling",nr,41.37,108
MJD-000329,GRO-0109,"Auger 300mm diameter pile","Groundworks","Piling",m,9.93,109
